phase,k,noise,update,similarity,accuracy
ExpA,1,0.1,async,1.0,1.0
ExpA,2,0.1,async,1.0,1.0
ExpA,3,0.1,async,1.0,1.0
ExpA,4,0.1,async,0.9885333333333332,0.8766666666666667
ExpA,5,0.1,async,0.9726666666666658,0.7633333333333333
ExpA,6,0.1,async,0.9051999999999994,0.5133333333333333
ExpB,2,0.0,async,1.0,1.0
ExpB,2,0.05,async,1.0,1.0
ExpB,2,0.1,async,1.0,1.0
ExpB,2,0.15000000000000002,async,1.0,1.0
ExpB,2,0.2,async,1.0,1.0
ExpB,2,0.25,async,0.9987999999999999,0.995
ExpB,2,0.30000000000000004,async,0.9908999999999998,0.965
ExpB,2,0.35000000000000003,async,0.9605999999999995,0.875
ExpB,2,0.4,async,0.8407999999999989,0.5525
ExpB,2,0.45,async,0.7047999999999979,0.24
ExpB,2,0.5,async,0.5776999999999991,0.0
ExpB,2,0.55,async,0.42890000000000056,0.0
ExpB,2,0.6000000000000001,async,0.17120000000000019,0.0
ExpB,2,0.65,async,0.08459999999999988,0.0
ExpB,2,0.7000000000000001,async,0.03800000000000001,0.0
ExpB,2,0.75,async,0.006600000000000002,0.0
ExpB,2,0.8,async,0.0,0.0
ExpB,2,0.8500000000000001,async,0.0,0.0
ExpB,2,0.9,async,0.0,0.0
ExpB,2,0.9500000000000001,async,0.0,0.0
ExpB,2,1.0,async,0.0,0.0
ExpB,4,0.0,async,1.0,1.0
ExpB,4,0.05,async,0.9965,0.95
ExpB,4,0.1,async,0.9882000000000001,0.88
ExpB,4,0.15000000000000002,async,0.9795000000000001,0.82
ExpB,4,0.2,async,0.9451999999999995,0.705
ExpB,4,0.25,async,0.9288999999999993,0.6125
ExpB,4,0.30000000000000004,async,0.8800999999999998,0.46
ExpB,4,0.35000000000000003,async,0.8513999999999992,0.395
ExpB,4,0.4,async,0.6849999999999993,0.0925
ExpB,4,0.45,async,0.6158,0.0175
ExpB,4,0.5,async,0.524,0.01
ExpB,4,0.55,async,0.4573999999999998,0.0075
ExpB,4,0.6000000000000001,async,0.28309999999999913,0.0
ExpB,4,0.65,async,0.21959999999999938,0.0
ExpB,4,0.7000000000000001,async,0.1416999999999999,0.0
ExpB,4,0.75,async,0.09759999999999978,0.0
ExpB,4,0.8,async,0.05389999999999994,0.0
ExpB,4,0.8500000000000001,async,0.031200000000000006,0.0
ExpB,4,0.9,async,0.01950000000000001,0.0
ExpB,4,0.9500000000000001,async,0.010600000000000005,0.0
ExpB,4,1.0,async,0.0,0.0
ExpC,4,0.0,sync,1.0,1.0
ExpC,4,0.05,sync,0.9961,0.9375
ExpC,4,0.1,sync,0.9871999999999994,0.86
ExpC,4,0.15000000000000002,sync,0.9812000000000002,0.8175
ExpC,4,0.2,sync,0.9537999999999995,0.6925
ExpC,4,0.25,sync,0.916199999999999,0.5575
ExpC,4,0.30000000000000004,sync,0.8897999999999996,0.4875
ExpC,4,0.35000000000000003,sync,0.8329999999999993,0.3425
ExpC,4,0.4,sync,0.6964999999999998,0.105
ExpC,4,0.45,sync,0.5997999999999998,0.0375
ExpC,4,0.5,sync,0.5393000000000004,0.0175
ExpC,4,0.0,async,1.0,1.0
ExpC,4,0.05,async,0.9955999999999999,0.93
ExpC,4,0.1,async,0.9893000000000002,0.89
ExpC,4,0.15000000000000002,async,0.9800999999999999,0.8175
ExpC,4,0.2,async,0.9486,0.665
ExpC,4,0.25,async,0.9355999999999994,0.6275
ExpC,4,0.30000000000000004,async,0.9014999999999995,0.5075
ExpC,4,0.35000000000000003,async,0.8416999999999996,0.3575
ExpC,4,0.4,async,0.6827999999999996,0.0675
ExpC,4,0.45,async,0.6258000000000002,0.045
ExpC,4,0.5,async,0.5427000000000005,0.025
